pipeline	source	protocol	clashscore	clashscore	clashscore	molprobity_score	molprobity_score	molprobity_score	rota_outliers	rota_outliers	rota_outliers	rama_favored	rama_favored	rama_favored
			mean	std	count	mean	std	count	mean	std	count	mean	std	count
blue	boltz	normal_ref15	0.850937984496124	0.474729338644619	2580	0.27807364341085267	0.13797955747649096	2580	0.029620155038759692	0.10430409309116849	2580	98.40277131782946	0.8327944998469805	2580
blue	crystal	cartesian_beta	0.9054473684210527	0.7462840644649482	380	0.3431578947368421	0.20191569680994953	380	0.04397368421052632	0.12340913503092901	380	97.8235	1.5145610273412227	380
blue	crystal	cartesian_ref15	1.5928684210526314	0.7597284152664029	380	0.47678947368421054	0.19524345912776714	380	0.030526315789473683	0.10222710937615309	380	97.76902631578949	1.518294366368662	380
blue	crystal	dualspace_beta	0.773078947368421	0.4213356624506346	380	0.295421052631579	0.15607515130144933	380	0.02063157894736842	0.0922347644361247	380	98.06315789473685	1.274772896662051	380
blue	crystal	dualspace_ref15	1.462063492063492	0.7327155814359482	378	0.42473544973544974	0.17903086840942026	378	0.023492063492063495	0.09107362102238264	378	98.11444444444444	1.3164705782422705	378
blue	crystal	normal_beta	0.8659568733153639	0.5989114795169855	371	0.34452830188679245	0.21180557410952472	371	0.07026954177897574	0.15717758114863398	371	97.65169811320754	1.5622785077075974	371
blue	crystal	normal_ref15	1.2862972972972972	0.7397747904890258	370	0.42859459459459465	0.20931990266317058	370	0.07586486486486486	0.15992014642852703	370	97.63302702702703	1.42837354178706	370
green	af_relaxed	cartesian_beta	0.7574703087885986	0.40174474867221466	5894	0.24497455039022736	0.1144227918282038	5894	0.019467254835425857	0.07245673990978702	5894	98.63778418730912	0.7668509107217452	5894
green	af_relaxed	cartesian_ref15	1.4281453548165923	0.6378088203622794	5834	0.3876448405896469	0.1373323768944421	5834	0.015875899897154613	0.06473723298906642	5834	98.41204833733288	0.8342679963450048	5834
green	af_relaxed	dualspace_beta	0.6904804023586542	0.40201956977420084	5766	0.22761186264308014	0.11566918716056564	5766	0.016368996011791228	0.06562087312757649	5767	98.6751066412346	0.7673523577194554	5767
green	af_relaxed	dualspace_ref15	1.3350985568461808	0.624744213782042	5682	0.36834213305174235	0.1340823039423114	5682	0.014378739880323831	0.061319839213577094	5682	98.45552446321719	0.8291473434892055	5682
green	af_relaxed	normal_beta	0.6533666904932094	0.8985199797366228	5596	0.23434238741958544	0.1608525543265317	5596	0.03525375268048606	0.10148525223021918	5596	98.18034488920657	0.9651440074950182	5596
green	af_relaxed	normal_ref15	0.9822083559413999	1.4242255579568135	5529	0.3238831615120275	0.18135161881236195	5529	0.032121540965816604	0.10331447637337747	5529	97.9236245252306	1.0167653198858468	5529
green	af_unrelaxed	cartesian_beta	0.7145686443106908	0.39530283065909017	3489	0.23284322155345372	0.11186568786802946	3489	0.025586127830323872	0.08965470581847693	3489	98.70977930639151	0.7343899847321299	3489
green	af_unrelaxed	cartesian_ref15	1.397594050743657	0.6160771109899447	3429	0.37605715952172647	0.12951224898114205	3429	0.01927675707203266	0.07929680437957723	3429	98.5563167104112	0.7771612654102357	3429
green	af_unrelaxed	dualspace_beta	0.6840891530460624	0.3804563929811035	3365	0.2225289747399703	0.10569707802161635	3365	0.015334323922734027	0.07055906542683316	3365	98.7344338781575	0.701950917887452	3365
green	af_unrelaxed	dualspace_ref15	1.2485095425628596	0.5810538145810714	3301	0.34528324750075734	0.1254118791961558	3301	0.020193880642229628	0.08176921684318729	3301	98.61683429263859	0.7523825224634779	3301
green	af_unrelaxed	normal_beta	0.8468972939729398	1.244529066458959	3252	0.2774138991389914	0.16508319434636898	3252	0.04066113161131611	0.11350309465728765	3252	98.2225	0.8918992165878332	3252
green	af_unrelaxed	normal_ref15	1.2390696950840074	1.3582024010937594	3214	0.36844119477286874	0.1734262215967382	3214	0.041540136901057866	0.11795998667768494	3214	98.08934349719976	0.9367426584767602	3214
green	amber_af	cartesian_beta	0.63723293768546	0.41599923874349193	1348	0.2136127596439169	0.1226438093815159	1348	0.014139465875370918	0.06938215926349442	1348	98.69536350148368	0.8011936723303806	1348
green	amber_af	cartesian_ref15	1.3459741248097412	0.6415493213296904	1314	0.3669634703196347	0.14581228280789887	1314	0.01532724505327245	0.07162837412054247	1314	98.58091324200913	0.8681906424891358	1314
green	amber_af	dualspace_beta	0.611860465116279	0.422209393341746	1290	0.20414728682170544	0.11823210271699137	1290	0.009434108527131783	0.05607048995897545	1290	98.6936511627907	0.7228271272408511	1290
green	amber_af	dualspace_ref15	1.2612028301886793	0.6324882858073855	1272	0.35114779874213836	0.1387006246134603	1272	0.018081761006289308	0.08155220893841157	1272	98.62507861635221	0.8076289432305166	1272
green	amber_af	normal_beta	0.5216931637519873	0.5171144877545697	1258	0.20645468998410177	0.1431023130861408	1258	0.017241653418124007	0.07919206453057569	1258	98.3087678855326	0.973525848523149	1258
green	amber_af	normal_ref15	0.8826416600159618	0.7165499945243406	1253	0.29493216280925777	0.16324807959141996	1253	0.02813248204309657	0.10750670537071266	1253	98.18845171588188	0.9142766289565972	1253
