pipeline	source	protocol	metric	mean	ci_lo	ci_hi	n_targets
green	amber_af	dualspace_beta	molprobity_score	0.2295	0.2195	0.2395	256
green	amber_af	dualspace_beta	rota_outliers	0.0182	0.0134	0.023	256
green	amber_af	dualspace_beta	rama_favored	98.6608	98.5855	98.7362	256
green	amber_af	dualspace_ref15	clashscore	1.3315	1.2793	1.3837	256
green	amber_af	dualspace_ref15	molprobity_score	0.3696	0.3575	0.3818	256
green	amber_af	dualspace_ref15	rota_outliers	0.0156	0.0106	0.0207	256
green	amber_af	dualspace_ref15	rama_favored	98.4256	98.3426	98.5085	256
green	amber_af	normal_beta	clashscore	0.6857	0.6185	0.753	256
green	amber_af	normal_beta	molprobity_score	0.2383	0.224	0.2526	256
green	amber_af	normal_beta	rota_outliers	0.0377	0.0301	0.0453	256
green	amber_af	normal_beta	rama_favored	98.1791	98.0852	98.2729	256
green	amber_af	normal_ref15	clashscore	0.9968	0.9149	1.0787	256
green	amber_af	normal_ref15	molprobity_score	0.3296	0.3135	0.3457	256
green	amber_af	normal_ref15	rota_outliers	0.0338	0.026	0.0417	256
green	amber_af	normal_ref15	rama_favored	97.9007	97.8016	97.9998	256
green	amber_boltz	cartesian_beta	clashscore	0.747	0.7164	0.7776	256
green	amber_boltz	cartesian_beta	molprobity_score	0.2412	0.2322	0.2501	256
green	amber_boltz	cartesian_beta	rota_outliers	0.0202	0.0153	0.025	256
green	amber_boltz	cartesian_beta	rama_favored	98.6548	98.5832	98.7264	256
green	amber_boltz	cartesian_ref15	clashscore	1.4154	1.3619	1.469	256
green	amber_boltz	cartesian_ref15	molprobity_score	0.3832	0.3714	0.395	256
green	amber_boltz	cartesian_ref15	rota_outliers	0.0133	0.0089	0.0178	256
green	amber_boltz	cartesian_ref15	rama_favored	98.4477	98.375	98.5204	256
green	amber_boltz	dualspace_beta	clashscore	0.6934	0.6651	0.7218	256
green	amber_boltz	dualspace_beta	molprobity_score	0.227	0.2184	0.2355	256
green	amber_boltz	dualspace_beta	rota_outliers	0.0176	0.0135	0.0216	256
green	amber_boltz	dualspace_beta	rama_favored	98.6996	98.6298	98.7693	256
green	amber_boltz	dualspace_ref15	clashscore	1.3338	1.2824	1.3853	256
green	amber_boltz	dualspace_ref15	molprobity_score	0.3654	0.3541	0.3768	256
green	amber_boltz	dualspace_ref15	rota_outliers	0.0181	0.0122	0.0239	256
green	amber_boltz	dualspace_ref15	rama_favored	98.5103	98.4391	98.5815	256
green	amber_boltz	normal_beta	clashscore	0.6412	0.5558	0.7267	256
green	amber_boltz	normal_beta	molprobity_score	0.2196	0.2056	0.2335	256
green	amber_boltz	normal_beta	rota_outliers	0.0286	0.0229	0.0342	256
green	amber_boltz	normal_beta	rama_favored	98.3219	98.2372	98.4066	256
green	amber_boltz	normal_ref15	clashscore	0.9136	0.8322	0.9949	256
green	amber_boltz	normal_ref15	molprobity_score	0.303	0.2885	0.3174	256
green	amber_boltz	normal_ref15	rota_outliers	0.0307	0.0244	0.037	256
green	amber_boltz	normal_ref15	rama_favored	98.1056	98.0229	98.1884	256
green	amber_crystal	cartesian_beta	clashscore	0.8735	0.8227	0.9242	253
green	amber_crystal	cartesian_beta	molprobity_score	0.3189	0.3001	0.3376	253
green	amber_crystal	cartesian_beta	rota_outliers	0.0244	0.017	0.0317	253
green	amber_crystal	cartesian_beta	rama_favored	97.9821	97.8497	98.1144	253
green	amber_crystal	cartesian_ref15	clashscore	1.5296	1.459	1.6003	253
green	amber_crystal	cartesian_ref15	molprobity_score	0.4596	0.4394	0.4798	253
green	amber_crystal	cartesian_ref15	rota_outliers	0.0215	0.0138	0.0293	253
green	amber_crystal	cartesian_ref15	rama_favored	97.8096	97.6813	97.938	253
